ticker,company_name,industry,fiscal_year,cik,source_url,downloaded_at_utc,assets_usd,liabilities_usd,current_assets_usd,current_liabilities_usd,operating_cashflow_usd,revenue_usd,net_income_usd,equity_usd,debt_ratio,current_ratio,cashflow_to_liabilities,revenue_growth,roe,net_profit_margin,financial_watch_score,attention_level,attention_flags,review_priority
PEP,"PepsiCo, Inc.",Consumer,2024,77476,https://data.sec.gov/api/xbrl/companyfacts/CIK0000077476.json,2026-08-03T14:50:39+00:00,99467000000.0,81296000000.0,25826000000.0,31536000000.0,12507000000.0,91854000000.0,9578000000.0,18041000000.0,0.8173162958569173,0.8189370877727042,0.15384520763629206,0.0041871194148965785,0.5309018347098277,0.10427417423302197,67.5,High watch,high leverage; current ratio below 1,Priority 1 - manual context review
HD,"HOME DEPOT, INC.",Consumer,2024,354950,https://data.sec.gov/api/xbrl/companyfacts/CIK0000354950.json,2026-08-03T14:50:39+00:00,96119000000.0,89479000000.0,31683000000.0,28661000000.0,19810000000.0,159514000000.0,14806000000.0,6640000000.0,0.9309189650329279,1.1054394473326123,0.22139272902021703,0.04483555928184502,2.2298192771084335,0.09281943904610254,59.6,Medium watch,high leverage,Priority 2 - monitor
CAT,CATERPILLAR INC,Industrial,2024,18230,https://data.sec.gov/api/xbrl/companyfacts/CIK0000018230.json,2026-08-03T14:50:39+00:00,87764000000.0,68270000000.0,45682000000.0,32272000000.0,12035000000.0,64809000000.0,10788000000.0,19494000000.0,0.7778815915409507,1.4155304908279622,0.17628533762999854,-0.03356695496570239,0.5534010464758388,0.1664583622645003,56.3,Medium watch,high leverage; revenue decline,Priority 2 - monitor
AAPL,Apple Inc.,Technology,2024,320193,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,2026-08-03T14:50:39+00:00,364980000000.0,308030000000.0,152987000000.0,176392000000.0,118254000000.0,391035000000.0,93736000000.0,56950000000.0,0.8439640528248123,0.8673125765340832,0.38390416517871634,0.02021994077514111,1.6459350307287095,0.23971255769943867,54.9,Medium watch,high leverage; current ratio below 1,Priority 2 - monitor
COST,COSTCO WHOLESALE CORP /NEW,Consumer,2024,909832,https://data.sec.gov/api/xbrl/companyfacts/CIK0000909832.json,2026-08-03T14:50:39+00:00,69831000000.0,46209000000.0,34246000000.0,35464000000.0,11339000000.0,254453000000.0,7367000000.0,23622000000.0,0.6617261674614426,0.965655312429506,0.24538509814105477,0.05020017334599025,0.3118702904072475,0.028952301603832536,48.6,Medium watch,current ratio below 1,Priority 2 - monitor
PG,PROCTER & GAMBLE CO,Consumer,2024,80424,https://data.sec.gov/api/xbrl/companyfacts/CIK0000080424.json,2026-08-03T14:50:39+00:00,122370000000.0,71811000000.0,24709000000.0,33627000000.0,19846000000.0,84039000000.0,14879000000.0,50559000000.0,0.5868350085805344,0.7347964433342254,0.276364345295289,0.024790868960807844,0.29428983959334637,0.17704875117504967,45.2,Medium watch,current ratio below 1,Priority 2 - monitor
MSFT,MICROSOFT CORPORATION,Technology,2024,789019,https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json,2026-08-03T14:50:39+00:00,512163000000.0,243686000000.0,159734000000.0,125286000000.0,118548000000.0,245122000000.0,88136000000.0,268477000000.0,0.47579774407756903,1.2749549031815206,0.48647850102180673,0.1566996201307127,0.32828137978299815,0.35955972944084985,22.7,Low watch,no rule-based attention flag,No priority flag
GOOGL,Alphabet Inc.,Technology,2024,1652044,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,2026-08-03T14:50:39+00:00,450256000000.0,125172000000.0,163711000000.0,89122000000.0,125299000000.0,350018000000.0,100118000000.0,325084000000.0,0.27800184783767456,1.8369313974102914,1.0010146039050267,0.1386624332290156,0.30797578472025694,0.28603671811164,7.7,Low watch,no rule-based attention flag,No priority flag
META,"Meta Platforms, Inc.",Technology,2024,1326801,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326801.json,2026-08-03T14:50:39+00:00,276054000000.0,93417000000.0,100045000000.0,33596000000.0,91328000000.0,164501000000.0,62360000000.0,182637000000.0,0.33840118237736094,2.9778842719371355,0.9776379031653768,0.21941112807816054,0.34144231453648494,0.3790858414234564,0.0,Low watch,no rule-based attention flag,No priority flag
NVDA,NVIDIA CORP,Technology,2024,1045810,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json,2026-08-03T14:50:39+00:00,65728000000.0,22750000000.0,44345000000.0,10631000000.0,28090000000.0,60922000000.0,29760000000.0,42978000000.0,0.346123417721519,4.171291505973097,1.2347252747252748,1.2585452658115224,0.6924472986178976,0.4884934834706674,0.0,Low watch,no rule-based attention flag,No priority flag
