ticker,company_name,industry,fiscal_year,cik,source_url,downloaded_at_utc,assets_usd,liabilities_usd,current_assets_usd,current_liabilities_usd,operating_cashflow_usd,revenue_usd,net_income_usd,equity_usd,debt_ratio,current_ratio,cashflow_to_liabilities,revenue_growth,roe,net_profit_margin,financial_watch_score,attention_level,attention_flags,review_priority
AAPL,Apple Inc.,Technology,2022,320193,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,2026-08-03T14:50:39+00:00,352755000000.0,302083000000.0,135405000000.0,153982000000.0,122151000000.0,394328000000.0,99803000000.0,50672000000.0,0.8563535598361469,0.8793560286267226,0.4043623772274507,0.0779378760418461,1.9695887275023682,0.2530964070519973,53.3,Medium watch,high leverage; current ratio below 1,Priority 2 - monitor
AAPL,Apple Inc.,Technology,2023,320193,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,2026-08-03T14:50:39+00:00,352583000000.0,290437000000.0,143566000000.0,145308000000.0,110543000000.0,383285000000.0,96995000000.0,62146000000.0,0.8237407929480435,0.9880116717592975,0.38060921989966845,-0.02800460530319937,1.5607601454639075,0.2530623426432028,53.4,Medium watch,high leverage; current ratio below 1; revenue decline,Priority 2 - monitor
AAPL,Apple Inc.,Technology,2024,320193,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,2026-08-03T14:50:39+00:00,364980000000.0,308030000000.0,152987000000.0,176392000000.0,118254000000.0,391035000000.0,93736000000.0,56950000000.0,0.8439640528248123,0.8673125765340832,0.38390416517871634,0.02021994077514111,1.6459350307287095,0.23971255769943867,54.9,Medium watch,high leverage; current ratio below 1,Priority 2 - monitor
CAT,CATERPILLAR INC,Industrial,2022,18230,https://data.sec.gov/api/xbrl/companyfacts/CIK0000018230.json,2026-08-03T14:50:39+00:00,81943000000.0,66052000000.0,43785000000.0,31531000000.0,7766000000.0,59427000000.0,6704000000.0,15891000000.0,0.8060725138205826,1.3886334083917415,0.1175740325803912,0.1658982558709854,0.4218740167390347,0.1128106752822791,56.1,Medium watch,high leverage,Priority 2 - monitor
CAT,CATERPILLAR INC,Industrial,2023,18230,https://data.sec.gov/api/xbrl/companyfacts/CIK0000018230.json,2026-08-03T14:50:39+00:00,87476000000.0,67973000000.0,46949000000.0,34728000000.0,12885000000.0,67060000000.0,10332000000.0,19503000000.0,0.7770474187205634,1.3519062428011979,0.18956056081091022,0.1284433001834182,0.5297646515920628,0.15407098121085594,51.3,Medium watch,high leverage,Priority 2 - monitor
CAT,CATERPILLAR INC,Industrial,2024,18230,https://data.sec.gov/api/xbrl/companyfacts/CIK0000018230.json,2026-08-03T14:50:39+00:00,87764000000.0,68270000000.0,45682000000.0,32272000000.0,12035000000.0,64809000000.0,10788000000.0,19494000000.0,0.7778815915409507,1.4155304908279622,0.17628533762999854,-0.03356695496570239,0.5534010464758388,0.1664583622645003,56.3,Medium watch,high leverage; revenue decline,Priority 2 - monitor
COST,COSTCO WHOLESALE CORP /NEW,Consumer,2022,909832,https://data.sec.gov/api/xbrl/companyfacts/CIK0000909832.json,2026-08-03T14:50:39+00:00,64166000000.0,43519000000.0,32696000000.0,31998000000.0,7392000000.0,226954000000.0,5844000000.0,20642000000.0,0.6782252283140604,1.0218138633664604,0.16985684413704358,0.15834817714580285,0.2831121015405484,0.025749711395260715,50.4,Medium watch,no rule-based attention flag,Priority 2 - monitor
COST,COSTCO WHOLESALE CORP /NEW,Consumer,2023,909832,https://data.sec.gov/api/xbrl/companyfacts/CIK0000909832.json,2026-08-03T14:50:39+00:00,68994000000.0,43936000000.0,35879000000.0,33583000000.0,11068000000.0,242290000000.0,6292000000.0,25058000000.0,0.6368089978838739,1.0683679242473871,0.25191187181354696,0.06757316460604357,0.2510974539069359,0.025968880267448098,44.6,Medium watch,no rule-based attention flag,Priority 2 - monitor
COST,COSTCO WHOLESALE CORP /NEW,Consumer,2024,909832,https://data.sec.gov/api/xbrl/companyfacts/CIK0000909832.json,2026-08-03T14:50:39+00:00,69831000000.0,46209000000.0,34246000000.0,35464000000.0,11339000000.0,254453000000.0,7367000000.0,23622000000.0,0.6617261674614426,0.965655312429506,0.24538509814105477,0.05020017334599025,0.3118702904072475,0.028952301603832536,48.6,Medium watch,current ratio below 1,Priority 2 - monitor
GOOGL,Alphabet Inc.,Technology,2022,1652044,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,2026-08-03T14:50:39+00:00,365264000000.0,109120000000.0,164795000000.0,69300000000.0,91495000000.0,282836000000.0,59972000000.0,256144000000.0,0.29874282710587413,2.377994227994228,0.8384805718475073,0.09780815643715779,0.2341339246673746,0.2120380715326196,3.8,Low watch,no rule-based attention flag,No priority flag
GOOGL,Alphabet Inc.,Technology,2023,1652044,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,2026-08-03T14:50:39+00:00,402392000000.0,119013000000.0,171530000000.0,81814000000.0,101746000000.0,307394000000.0,73795000000.0,283379000000.0,0.29576383228294795,2.096584936563424,0.8549150092847,0.0868277022726951,0.26041096905557576,0.24006649446638517,5.6,Low watch,no rule-based attention flag,No priority flag
GOOGL,Alphabet Inc.,Technology,2024,1652044,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,2026-08-03T14:50:39+00:00,450256000000.0,125172000000.0,163711000000.0,89122000000.0,125299000000.0,350018000000.0,100118000000.0,325084000000.0,0.27800184783767456,1.8369313974102914,1.0010146039050267,0.1386624332290156,0.30797578472025694,0.28603671811164,7.7,Low watch,no rule-based attention flag,No priority flag
HD,"HOME DEPOT, INC.",Consumer,2022,354950,https://data.sec.gov/api/xbrl/companyfacts/CIK0000354950.json,2026-08-03T14:50:39+00:00,76445000000.0,74883000000.0,32471000000.0,23110000000.0,14615000000.0,157403000000.0,17105000000.0,1562000000.0,0.9795670089606907,1.4050627434011251,0.1951711336351375,0.04132127523038953,10.950704225352112,0.10867010158637383,57.2,Medium watch,high leverage,Priority 2 - monitor
HD,"HOME DEPOT, INC.",Consumer,2023,354950,https://data.sec.gov/api/xbrl/companyfacts/CIK0000354950.json,2026-08-03T14:50:39+00:00,76530000000.0,75486000000.0,29775000000.0,22015000000.0,21172000000.0,152669000000.0,15143000000.0,1044000000.0,0.986358290866327,1.3524869407222349,0.2804758498264579,-0.030075665648049865,14.504789272030651,0.09918844035134834,54.5,Medium watch,high leverage; revenue decline,Priority 2 - monitor
HD,"HOME DEPOT, INC.",Consumer,2024,354950,https://data.sec.gov/api/xbrl/companyfacts/CIK0000354950.json,2026-08-03T14:50:39+00:00,96119000000.0,89479000000.0,31683000000.0,28661000000.0,19810000000.0,159514000000.0,14806000000.0,6640000000.0,0.9309189650329279,1.1054394473326123,0.22139272902021703,0.04483555928184502,2.2298192771084335,0.09281943904610254,59.6,Medium watch,high leverage,Priority 2 - monitor
META,"Meta Platforms, Inc.",Technology,2022,1326801,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326801.json,2026-08-03T14:50:39+00:00,185727000000.0,60014000000.0,59549000000.0,27026000000.0,50475000000.0,116609000000.0,23200000000.0,125713000000.0,0.3231301857026711,2.203396729075705,0.8410537541240377,-0.011193175554782941,0.18454734196145187,0.19895548371051977,7.2,Low watch,revenue decline,No priority flag
META,"Meta Platforms, Inc.",Technology,2023,1326801,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326801.json,2026-08-03T14:50:39+00:00,229623000000.0,76455000000.0,85365000000.0,31960000000.0,71113000000.0,134902000000.0,39098000000.0,153168000000.0,0.33295880639134584,2.6709949937421777,0.9301288339546139,0.15687468377226454,0.25526219575890524,0.28982520644616094,2.0,Low watch,no rule-based attention flag,No priority flag
